WeatherKey,WeatherDate,AverageHumidity,AveragePressure,AverageTemperature,AverageWindSpeed,TemperatureRangeName,HumidityLevelName,PressureLevelName,WindLevelName,WeatherComfortLevel,OverallWeatherDescription,ComfortLevel,CreateTimeStamp,SourceSystemCode,SourceFolder
12,2014-07-12,70.125,1017.9583333333334,297.00000000000318,4.125,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
13,2014-07-13,74.833333333333329,1012.75,298.10416666667032,4.083333333333333,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
14,2014-07-14,62.583333333333336,1011.3333333333334,295.73569410658519,3.7916666666666665,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
15,2014-07-15,62.458333333333336,1011.625,291.20683333333835,4.75,Cool,Medium,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
16,2014-07-16,70.583333333333329,1015.5833333333334,290.48958333333718,3.2916666666666665,Cool,Medium,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
17,2014-07-17,62.625,1020.4166666666666,291.49958333333285,1.75,Cool,Medium,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
18,2014-07-18,61.083333333333336,1022.5833333333334,293.9275000000012,2.375,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
19,2014-07-19,55.208333333333336,1018.6666666666666,294.26249999999908,2,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
20,2014-07-20,64.541666666666671,1016.5416666666666,295.16791666666819,1.625,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
21,2014-07-21,66.75,1016.75,296.88083333333208,3,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
22,2014-07-22,63.75,1018.9583333333334,299.17749999999882,4.208333333333333,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
23,2014-07-23,70.791666666666671,1020.2916666666666,295.35041666666439,6.375,Warm,Medium,Normal Pressure,Moderate Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
24,2014-07-24,83.125,1027.875,291.54064170945861,3.875,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
25,2014-07-25,69.375,1018.9166666666666,291.82496204166466,3.1666666666666665,Cool,Medium,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
26,2014-07-26,71.208333333333329,1013.0416666666666,296.20958333333152,2.75,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
27,2014-07-27,70.166666666666671,1008.5833333333334,298.24497803454153,4.375,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
28,2014-07-28,89.25,1027.5416666666667,291.13596983404034,7.458333333333333,Cool,High,High Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
29,2014-07-29,85.625,1029.6666666666667,292.43129166666444,2.5,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
30,2014-07-30,70.666666666666671,1023.2916666666666,294.55710417820933,2.2916666666666665,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
31,2014-07-31,63.708333333333336,1019.1666666666666,294.00849751149758,3.375,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
32,2014-08-01,66.791666666666671,1016.8333333333334,295.10325499700207,2.25,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
33,2014-08-02,78.5,1026.5,293.65380873983327,1.2916666666666667,Warm,Medium,High Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
34,2014-08-03,72.875,1028.0416666666667,296.5279819148775,2.2083333333333335,Warm,Medium,High Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
35,2014-08-04,63.458333333333336,1019,296.69647259700025,3.0416666666666665,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
36,2014-08-05,80.625,1017.4583333333334,295.41750000000121,2.5833333333333335,Warm,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
37,2014-08-06,67.083333333333329,1017.625,294.65916666666755,2.5833333333333335,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
38,2014-08-07,66.375,1023.0833333333334,294.57642677708333,3.125,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
39,2014-08-08,76.875,1025.4583333333333,295.01089027416714,3.8333333333333335,Warm,Medium,High Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
40,2014-08-09,84.5,1031.25,294.9323125000011,4,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
41,2014-08-10,88.083333333333329,1030.2083333333333,294.891625000001,3.3333333333333335,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
42,2014-08-11,96.75,1025.5,294.21549999999957,2.9583333333333335,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
43,2014-08-12,97.583333333333329,1022.1666666666666,292.69493749999782,5.041666666666667,Cool,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
44,2014-08-13,95,1027.8333333333333,293.59664583333335,4.166666666666667,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
45,2014-08-14,98,1030.4583333333333,292.51454166666838,3.625,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
46,2014-08-15,92.916666666666671,1030.3333333333333,291.90735416666575,2.25,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
47,2014-08-16,85.833333333333329,1026.2083333333333,295.01204166666611,3.3333333333333335,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
48,2014-08-17,90.125,1026.4166666666667,295.06181250000071,2.2083333333333335,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
49,2014-08-18,94.333333333333329,1024.5833333333333,293.86874999999861,1.7916666666666667,Warm,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
50,2014-08-19,83,1019.6666666666666,296.87270833333469,3.875,Warm,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
51,2014-08-20,85.291666666666671,1022.7916666666666,295.79629166666626,1.9166666666666667,Warm,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
52,2014-08-21,86.583333333333329,1026.4166666666667,296.33543749999916,1.875,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
53,2014-08-22,94.75,1025.25,295.88152083333546,1.75,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
54,2014-08-23,87.166666666666671,1027.2083333333333,296.95877083333102,1.625,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
55,2014-08-24,86.625,1027.875,297.27435416666566,3.4166666666666665,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
56,2014-08-25,81.625,1028.1666666666667,299.45468749999924,3.0416666666666665,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
57,2014-08-26,88.083333333333329,1030.1666666666667,297.37900000000076,2.5,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
58,2014-08-27,93.625,1032.5833333333333,295.02616666666779,2.25,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
59,2014-08-28,93.875,1032.2083333333333,294.41156249999835,3.625,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
60,2014-08-29,89.375,1027.7916666666667,296.05285416666783,4.125,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
61,2014-08-30,86.625,1023.3333333333334,297.28737500000074,5.625,Warm,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
62,2014-08-31,88,1025.0416666666667,296.76445833333355,2.4166666666666665,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
63,2014-09-01,91.583333333333329,1022.625,296.41506250000043,4.791666666666667,Warm,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
64,2014-09-02,86.458333333333329,1024.4583333333333,296.21791666666405,2.2083333333333335,Warm,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
65,2014-09-03,84.166666666666671,1028.0416666666667,296.00052083333503,1.4166666666666667,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
66,2014-09-04,77.083333333333329,1026.5416666666667,298.61756250000019,5.625,Warm,Medium,High Pressure,Moderate Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
67,2014-09-05,77.75,1026.375,299.31031250000126,5.458333333333333,Warm,Medium,High Pressure,Moderate Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
68,2014-09-06,97.875,1031.9583333333333,292.56025000000102,4.541666666666667,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
69,2014-09-07,93.041666666666671,1034.2916666666667,293.38156250000117,1.5833333333333333,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
70,2014-09-08,90,1032.1666666666667,294.08516666666776,2.8333333333333335,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
71,2014-09-09,88.333333333333329,1028.375,294.59352083333357,4,Warm,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
72,2014-09-10,92.625,1018.2916666666666,295.08999999999872,7.541666666666667,Warm,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
73,2014-09-11,99.708333333333329,1027.6666666666667,288.54706249999953,6.666666666666667,Cool,High,High Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
74,2014-09-12,100,1037.4583333333333,287.19016666666789,4.541666666666667,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
75,2014-09-13,100,1038.4583333333333,284.20914583333524,5.583333333333333,Cool,High,High Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
76,2014-09-14,99.583333333333329,1038.625,285.6326041666677,2.4583333333333335,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
77,2014-09-15,99.75,1033.875,286.96470833333365,2.1666666666666665,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
78,2014-09-16,98.375,1034.2916666666667,287.22268749999949,2.7083333333333335,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
79,2014-09-17,93,1030.2916666666667,288.21768749999927,1.8333333333333333,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
80,2014-09-18,90.166666666666671,1031.625,289.20343749999864,1.1666666666666667,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
81,2014-09-19,89.916666666666671,1033.125,290.11191666666792,4.625,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
82,2014-09-20,78.208333333333329,1025.5833333333333,292.77141666666535,5.708333333333333,Cool,Medium,High Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
83,2014-09-21,93.208333333333329,1023.4166666666666,290.13912499999753,6.625,Cool,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
84,2014-09-22,96.291666666666671,1035.3333333333333,287.92691666666605,4.25,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
85,2014-09-23,90.666666666666671,1038.9166666666667,289.0104999999993,2.2083333333333335,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
86,2014-09-24,86.458333333333329,1039.75,290.36397916666556,2.7083333333333335,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
87,2014-09-25,85.333333333333329,1037.9583333333333,290.4525625000004,1.1666666666666667,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
88,2014-09-26,85.5,1036.875,290.79277083333437,1.7916666666666667,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
89,2014-09-27,86.541666666666671,1036.4166666666667,290.87458333333262,1.875,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
90,2014-09-28,87.708333333333329,1033.8333333333333,291.12291666666795,1,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
91,2014-09-29,86.25,1029.5,291.31647916666691,1.2083333333333333,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
92,2014-09-30,97.333333333333329,1028.625,288.15752083333393,4.625,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
93,2014-10-01,96.375,1028.2083333333333,288.07924999999778,4.083333333333333,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
94,2014-10-02,91,1023.7916666666666,291.73572916666944,5.5,Cool,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
95,2014-10-03,97.458333333333329,1016.7083333333334,289.35902083333303,5.75,Cool,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
96,2014-10-04,100,1019.875,280.66710416666666,8.4166666666666661,Cold,High,Normal Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
97,2014-10-05,100,1019.7083333333334,281.74856249999959,6.125,Cold,High,Normal Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
98,2014-10-06,100,1016.875,284.46877083333339,4.833333333333333,Cool,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
99,2014-10-07,96.5,1017.875,286.20870833333157,5.791666666666667,Cool,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
100,2014-10-08,90.916666666666671,1026.5833333333333,286.30012499999845,5.291666666666667,Cool,High,High Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
101,2014-10-09,91.708333333333329,1031.5,285.69635416666932,3.2083333333333335,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
102,2014-10-10,96.333333333333329,1034.125,284.53879166666638,2.125,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
103,2014-10-11,97,1036.0416666666667,284.56822916666579,3.0416666666666665,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
104,2014-10-12,95.75,1031.9166666666667,284.79716666666764,4.875,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
105,2014-10-13,92.541666666666671,1023.3333333333334,288.25641666666826,3.375,Cool,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
106,2014-10-14,90.75,1013.4166666666666,289.60935416666632,4.916666666666667,Cool,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
107,2014-10-15,99.458333333333329,1018.6666666666666,286.21764583333214,2.7083333333333335,Cool,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
108,2014-10-16,98.958333333333329,1022.5416666666666,285.99033333333375,3.4166666666666665,Cool,High,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
109,2014-10-17,94.958333333333329,1016.4583333333334,286.8186458333326,5.625,Cool,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
110,2014-10-18,98.625,1027.9583333333333,283.8290416666668,7.666666666666667,Cool,High,High Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
111,2014-10-19,99.166666666666671,1034.5,281.65277083333456,3.6666666666666665,Cold,High,High Pressure,Light Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
112,2014-10-20,93.916666666666671,1024.9166666666667,285.72375000000028,5.541666666666667,Cool,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
113,2014-10-21,98.791666666666671,1031.375,283.79225000000071,4.875,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
114,2014-10-22,99.958333333333329,1039.125,282.52639583333115,2.9166666666666665,Cold,High,High Pressure,Light Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
115,2014-10-23,97.333333333333329,1036.0833333333333,282.63043749999804,3.625,Cold,High,High Pressure,Light Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
116,2014-10-24,89.291666666666671,1030.4583333333333,285.90616666666483,2.5833333333333335,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
117,2014-10-25,84.458333333333329,1026.375,287.40427083333174,3.75,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
118,2014-10-26,86.375,1028.4166666666667,285.18708333333524,3.7083333333333335,Cool,High,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
119,2014-10-27,76.083333333333329,1020.75,288.84583333333177,4.958333333333333,Cool,Medium,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
120,2014-10-28,79.375,1020.5,288.61256250000275,6.708333333333333,Cool,Medium,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
121,2014-10-29,98.125,1029.6666666666667,282.12193749999835,6.208333333333333,Cold,High,High Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
122,2014-10-30,100,1033.1666666666667,280.80939583333333,2.5416666666666665,Cold,High,High Pressure,Light Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
123,2014-10-31,100,1032.5416666666667,279.98068749999879,9.25,Cold,High,High Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
124,2014-11-01,100,1041.7916666666667,279.35066666666631,8.3333333333333339,Cold,High,High Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
125,2014-11-02,99.75,1042.6666666666667,277.82470833333531,3.5416666666666665,Cold,High,High Pressure,Light Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
126,2014-11-03,90.208333333333329,1034.0833333333333,282.82383333333183,7.375,Cold,High,High Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
127,2014-11-04,80.25,1028,285.95985416666645,6.958333333333333,Cool,High,High Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
128,2014-11-05,92.458333333333329,1031.875,282.51964583333239,4.666666666666667,Cold,High,High Pressure,Light Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
129,2014-11-06,94.458333333333329,1025.2916666666667,282.1907499999981,8.2083333333333339,Cold,High,High Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
130,2014-11-07,100,1034.2916666666667,278.00256249999893,5.041666666666667,Cold,High,High Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
131,2014-11-08,100,1024.1666666666667,280.09322916666673,7.458333333333333,Cold,High,Normal Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
132,2014-11-09,98.166666666666671,1026,278.6753125000011,5.875,Cold,High,High Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
133,2014-11-10,91.166666666666671,1021.2083333333334,282.55529166666531,5,Cold,High,Normal Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
134,2014-11-11,83.958333333333329,1017.3333333333334,283.85431249999976,7.291666666666667,Cool,High,Normal Pressure,Moderate Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
135,2014-11-12,100,1035.6666666666667,273.15479166666717,6.708333333333333,Cold,High,High Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
136,2014-11-13,100,1038.7916666666667,271.19191666666751,6.041666666666667,Cold,High,High Pressure,Moderate Wind,Cold & Humid,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
